[ALERT] NULL_SCAN from 34.107.221.82 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 45486, 45500, 45514, 56490, 56492, 58304, 58306, 58310, 58314, 58320 | Ports Scanned: 10 | Start: Wed Jul 30 15:44:04 2025 | Duration: 9.2s
[ALERT] SERVICE_PROBE from 34.107.221.82 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 35246, 45486, 45500, 45514, 45522, 56490, 56492, 58310, 58314, 58320 | Ports Scanned: 10 | Start: Wed Jul 30 15:44:04 2025 | Duration: 9.5s
[ALERT] OS_FINGERPRINT from 34.107.221.82 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Wed Jul 30 15:44:04 2025 | Duration: 9.4s
[ALERT] SERVICE_PROBE from 172.20.10.4 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 443, 80 | Ports Scanned: 2 | Start: Wed Jul 30 15:44:07 2025 | Duration: 6.1s
[ALERT] OS_FINGERPRINT from 172.20.10.4 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Wed Jul 30 15:44:07 2025 | Duration: 6.3s
[ALERT] ARP_MITM from 172.20.10.4 | Target_IP: 172.20.10.3 | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: 08:71:90:49:f6:79 | Previous_MAC: 08:71:90:49:f6:79 | Ports:  | Ports Scanned: 0 | Start: Wed Jul 30 15:43:44 2025 | Duration: 0.0s
[ALERT] ARP_MITM from 172.20.10.3 | Target_IP: 172.20.10.4 | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: 00:00:00:00:00:00 | Previous_MAC: f0:d5:bf:24:3b:19 | Ports:  | Ports Scanned: 0 | Start: Wed Jul 30 15:43:44 2025 | Duration: 0.8s
[ALERT] OS_FINGERPRINT from 91.189.91.48 | Target_IP: N/A | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Tue Aug  5 13:45:39 2025 | Duration: 0.3s
[ALERT] OS_FINGERPRINT from 185.125.190.48 | Target_IP: N/A | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Tue Aug  5 13:45:38 2025 | Duration: 0.2s
[ALERT] OS_FINGERPRINT from 91.189.91.96 | Target_IP: N/A | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Tue Aug  5 13:45:41 2025 | Duration: 0.3s
[ALERT] SERVICE_PROBE from 10.66.201.252 | Target_IP: N/A | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 80 | Ports Scanned: 1 | Start: N/A | Duration: 0.0s
[ALERT] OS_FINGERPRINT from 10.66.201.252 | Target_IP: N/A | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Tue Aug  5 13:46:59 2025 | Duration: 0.0s
[ALERT] OS_FINGERPRINT from 91.189.91.49 | Target_IP: N/A | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Tue Aug  5 13:45:45 2025 | Duration: 2.3s
[ALERT] ARP_MITM from 10.66.201.232 | Target_IP: 10.66.201.252 | SRC_MAC: 36:30:2a:ea:7c:ab | Claimed_MAC: f0:d5:bf:24:3b:19 | Previous_MAC: f0:d5:bf:24:3b:19 | Ports:  | Ports Scanned: 0 | Start: Tue Aug  5 13:45:18 2025 | Duration: 0.0s
[ALERT] ARP_MITM from 10.66.201.232 | Target_IP: 10.66.201.252 | SRC_MAC: 36:30:2a:ea:7c:ab | Claimed_MAC: 00:00:00:00:00:00 | Previous_MAC: f0:d5:bf:24:3b:19 | Ports:  | Ports Scanned: 0 | Start: Tue Aug  5 13:45:18 2025 | Duration: 0.1s
[ALERT] ARP_MITM from 10.66.201.252 | Target_IP: 10.66.201.232 | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: 36:30:2a:ea:7c:ab | Previous_MAC: 36:30:2a:ea:7c:ab | Ports:  | Ports Scanned: 0 | Start: Tue Aug  5 13:45:18 2025 | Duration: 0.1s
[ALERT] ARP_MITM from 10.66.201.252 | Target_IP: 10.66.201.232 | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: 00:00:00:00:00:00 | Previous_MAC: 36:30:2a:ea:7c:ab | Ports:  | Ports Scanned: 0 | Start: Tue Aug  5 13:45:18 2025 | Duration: 106.0s
[ALERT] BROADCAST_SPOOF from 10.66.201.193 | Target_IP: 255.255.255.255 | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: ff:ff:ff:ff:ff:ff | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Tue Aug  5 13:47:18 2025 | Duration: 0.0s
[ALERT] ARP_MITM from 10.66.201.232 | Target_IP: 10.66.201.252 | SRC_MAC: 36:30:2a:ea:7c:ab | Claimed_MAC: f0:d5:bf:24:3b:19 | Previous_MAC: f0:d5:bf:24:3b:19 | Ports:  | Ports Scanned: 0 | Start: Tue Aug  5 13:45:18 2025 | Duration: 0.0s
[ALERT] ARP_MITM from 10.66.201.232 | Target_IP: 10.66.201.252 | SRC_MAC: 36:30:2a:ea:7c:ab | Claimed_MAC: 00:00:00:00:00:00 | Previous_MAC: f0:d5:bf:24:3b:19 | Ports:  | Ports Scanned: 0 | Start: Tue Aug  5 13:45:18 2025 | Duration: 0.1s
[ALERT] ARP_MITM from 10.66.201.252 | Target_IP: 10.66.201.232 | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: 36:30:2a:ea:7c:ab | Previous_MAC: 36:30:2a:ea:7c:ab | Ports:  | Ports Scanned: 0 | Start: Tue Aug  5 13:45:18 2025 | Duration: 0.1s
[ALERT] ARP_MITM from 10.66.201.252 | Target_IP: 10.66.201.232 | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: 00:00:00:00:00:00 | Previous_MAC: 36:30:2a:ea:7c:ab | Ports:  | Ports Scanned: 0 | Start: Tue Aug  5 13:45:18 2025 | Duration: 106.0s
[ALERT] BROADCAST_SPOOF from 10.66.201.193 | Target_IP: 255.255.255.255 | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: ff:ff:ff:ff:ff:ff | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Tue Aug  5 13:47:18 2025 | Duration: 0.0s
[ALERT] BROADCAST_SPOOF from 10.66.201.193 | Target_IP: 10.66.201.192 | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: ff:ff:ff:ff:ff:ff | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Tue Aug  5 13:37:16 2025 | Duration: 0.0s
[ALERT] GRATUITOUS_ARP from 10.66.201.193 | Target_IP: 10.66.201.193 | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: ff:ff:ff:ff:ff:ff | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Tue Aug  5 13:37:16 2025 | Duration: 96.8s
[ALERT] BROADCAST_SPOOF from 10.66.201.193 | Target_IP: 10.66.201.193 | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: ff:ff:ff:ff:ff:ff | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Tue Aug  5 13:37:16 2025 | Duration: 96.8s
[ALERT] ARP_MITM from 172.20.10.4 | Target_IP: 172.20.10.3 | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: 08:71:90:49:f6:79 | Previous_MAC: 08:71:90:49:f6:79 | Ports:  | Ports Scanned: 0 | Start: Wed Jul 30 16:14:02 2025 | Duration: 0.0s
[ALERT] MAC_CONFLICT from 172.20.10.6 | Target_IP: 172.20.10.4 | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: 08:71:90:49:f6:79 | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Wed Jul 30 16:14:02 2025 | Duration: 0.0s
[ALERT] ARP_MITM from 172.20.10.6 | Target_IP: 172.20.10.4 | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: 08:71:90:49:f6:79 | Previous_MAC: f0:d5:bf:24:3b:19 | Ports:  | Ports Scanned: 0 | Start: Wed Jul 30 16:14:02 2025 | Duration: 0.0s
[ALERT] ARP_FLOOD from 172.20.10.6 | Target_IP: 172.20.10.4 | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Wed Jul 30 16:14:02 2025 | Duration: 0.0s
[ALERT] ARP_MITM from 172.20.10.4 | Target_IP: 172.20.10.3 | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: 08:71:90:49:f6:79 | Previous_MAC: 08:71:90:49:f6:79 | Ports:  | Ports Scanned: 0 | Start: Wed Jul 30 16:11:38 2025 | Duration: 0.0s
[ALERT] ARP_MITM from 172.20.10.3 | Target_IP: 172.20.10.4 | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: 00:00:00:00:00:00 | Previous_MAC: f0:d5:bf:24:3b:19 | Ports:  | Ports Scanned: 0 | Start: Wed Jul 30 16:11:36 2025 | Duration: 2.5s
[ALERT] ARP_FLOOD from 172.20.10.3 | Target_IP: 172.20.10.4 | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Wed Jul 30 16:11:36 2025 | Duration: 2.5s
[ALERT] ARP_MITM from 172.20.10.4 | Target_IP: 172.20.10.3 | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: 08:71:90:49:f6:79 | Previous_MAC: 08:71:90:49:f6:79 | Ports:  | Ports Scanned: 0 | Start: Wed Jul 30 16:09:13 2025 | Duration: 0.0s
[ALERT] ARP_MITM from 172.20.10.3 | Target_IP: 172.20.10.4 | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: 00:00:00:00:00:00 | Previous_MAC: f0:d5:bf:24:3b:19 | Ports:  | Ports Scanned: 0 | Start: Wed Jul 30 16:09:13 2025 | Duration: 0.0s
[ALERT] ARP_FLOOD from 172.20.10.3 | Target_IP: 172.20.10.4 | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Wed Jul 30 16:09:13 2025 | Duration: 0.0s
[ALERT] ARP_MITM from 172.20.10.4 | Target_IP: 172.20.10.3 | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: 08:71:90:49:f6:79 | Previous_MAC: 08:71:90:49:f6:79 | Ports:  | Ports Scanned: 0 | Start: Wed Jul 30 16:08:09 2025 | Duration: 0.0s
[ALERT] ARP_MITM from 172.20.10.3 | Target_IP: 172.20.10.4 | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: 00:00:00:00:00:00 | Previous_MAC: f0:d5:bf:24:3b:19 | Ports:  | Ports Scanned: 0 | Start: Wed Jul 30 16:08:09 2025 | Duration: 0.0s
[ALERT] ARP_FLOOD from 172.20.10.3 | Target_IP: 172.20.10.4 | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Wed Jul 30 16:08:09 2025 | Duration: 0.1s
[ALERT] MAC_CONFLICT from 10.66.201.193 | Target_IP: 10.66.201.21 | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: 00:00:00:00:00:00 | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Tue Aug  5 13:44:24 2025 | Duration: 0.0s
[ALERT] MAC_CONFLICT from 10.66.201.21 | Target_IP: 10.66.201.252 | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: f0:d5:bf:24:3b:19 | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Tue Aug  5 13:42:11 2025 | Duration: 133.9s
