[ALERT] OS_FINGERPRINT from 185.125.188.57 | Target_IP: 10.213.236.252 | SRC_MAC: 52:a9:fe:0c:85:66 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Count: 37 | Start: Wed Oct  8 11:46:40 2025 | Duration: 1.743139s
[ALERT] OS_FINGERPRINT from 10.213.236.252 | Target_IP: 10.213.236.205 | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Count: 19 | Start: Wed Oct  8 11:46:39 2025 | Duration: 2.659909s
[ALERT] ACK_SCAN from 10.213.236.193 | Target_IP: 10.213.236.252 | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 1009, 1011, 10180, 1022, 1025, 1041, 1046, 110, 1104, 1105, 111, 1117, 113, 1130, 1148 | Ports Scanned: 15 | Count: 80 | Start: Wed Oct  8 11:46:35 2025 | Duration: 8.807519s
[ALERT] ARP_MITM from 10.213.236.252 | Target_IP: 10.213.236.193 | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: 08:71:90:49:f6:79 | Previous_MAC: 08:71:90:49:f6:79 | Ports:  | Ports Scanned: 0 | Count: 1 | Start: Wed Oct  8 11:46:22 2025 | Duration: N/A
[ALERT] SPOOFED_SYN_FLOOD from 10.213.236.193 | Target_IP: 10.213.236.252 | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Count: 50 | Start: Wed Oct  8 11:48:12 2025 | Duration: 5.631566s
[ALERT] FULL_PORT_SCAN from 10.213.236.193 | Target_IP: 10.213.236.252 | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 1025, 10295, 110, 111, 11178, 113, 11820, 12120, 135, 13615, 139, 1404, 143, 15174, 15569 | Ports Scanned: 15 | Count: 90 | Start: Wed Oct  8 11:48:27 2025 | Duration: 9.413241s
[ALERT] SYN_SCAN from 10.213.236.193 | Target_IP: 10.213.236.252 | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 1025, 10295, 110, 111, 11178, 113, 11820, 12120, 135, 13615, 139, 1404, 143, 15174, 15569 | Ports Scanned: 15 | Count: 90 | Start: Wed Oct  8 11:48:27 2025 | Duration: 9.413241s
[ALERT] OS_FINGERPRINT from 10.213.236.193 | Target_IP: 10.213.236.252 | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Count: 90 | Start: Wed Oct  8 11:48:27 2025 | Duration: 9.413241s
[ALERT] ARP_MITM from 10.213.236.252 | Target_IP: 10.213.236.193 | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: 08:71:90:49:f6:79 | Previous_MAC: 08:71:90:49:f6:79 | Ports:  | Ports Scanned: 0 | Count: 1 | Start: Wed Oct  8 11:48:12 2025 | Duration: N/A
[ALERT] ARP_MITM from 10.213.236.205 | Target_IP: 10.213.236.252 | SRC_MAC: 52:a9:fe:0c:85:66 | Claimed_MAC: f0:d5:bf:24:3b:19 | Previous_MAC: f0:d5:bf:24:3b:19 | Ports:  | Ports Scanned: 0 | Count: 1 | Start: Wed Oct  8 11:48:17 2025 | Duration: N/A
[ALERT] ARP_MITM from 10.213.236.252 | Target_IP: 10.213.236.205 | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: 52:a9:fe:0c:85:66 | Previous_MAC: 52:a9:fe:0c:85:66 | Ports:  | Ports Scanned: 0 | Count: 3 | Start: Wed Oct  8 11:48:12 2025 | Duration: 5.979016s
