[ALERT] UDP_SCAN from 192.168.18.85 | Target_IP: 192.168.18.108 | SRC_MAC: 52:f8:82:0a:7b:d5 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 | Ports Scanned: 11 | Count: 22 | Start: Sun Oct 26 15:18:09 2025 | Duration: 2.500123s
[ALERT] UDP_SCAN from 192.168.18.85 | Target_IP: 192.168.18.108 | SRC_MAC: 52:f8:82:0a:7b:d5 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 | Ports Scanned: 11 | Count: 12 | Start: Sun Oct 26 15:18:11 2025 | Duration: 1.000935s
[ALERT] OS_FINGERPRINT from 192.168.18.108 | Target_IP: 192.168.18.1 | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Count: 17 | Start: Sun Oct 26 15:19:10 2025 | Duration: 8.890034s
[ALERT] OS_FINGERPRINT from 192.168.18.108 | Target_IP: 34.36.137.203 | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Count: 5 | Start: Sun Oct 26 15:20:15 2025 | Duration: 2.510179s
[ALERT] OS_FINGERPRINT from 192.168.18.108 | Target_IP: 18.97.36.16 | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Count: 5 | Start: Sun Oct 26 15:21:19 2025 | Duration: 7.564991s
[ALERT] UDP_SCAN from 192.168.18.85 | Target_IP: 192.168.18.108 | SRC_MAC: 52:f8:82:0a:7b:d5 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 | Ports Scanned: 11 | Count: 22 | Start: Sun Oct 26 15:18:09 2025 | Duration: 2.500123s
[ALERT] UDP_SCAN from 192.168.18.85 | Target_IP: 192.168.18.108 | SRC_MAC: 52:f8:82:0a:7b:d5 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 | Ports Scanned: 11 | Count: 12 | Start: Sun Oct 26 15:18:11 2025 | Duration: 1.000935s
[ALERT] OS_FINGERPRINT from 192.168.18.108 | Target_IP: 34.107.243.93 | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Count: 17 | Start: Sun Oct 26 15:19:10 2025 | Duration: 8.890034s
[ALERT] UDP_SCAN from 10.35.214.193 | Target_IP: 10.35.214.252 | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 1053, 16402, 17077, 17236, 17282, 17338, 17459, 17638, 18113, 18156, 18255, 18319, 18373, 19130, 19489 | Ports Scanned: 15 | Count: 52 | Start: Mon Oct 27 11:55:12 2025 | Duration: 8.807660s
[ALERT] UDP_SCAN from 10.35.214.193 | Target_IP: 10.35.214.252 | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 16402, 17236, 17282, 17338, 17638, 18156, 19130, 20366, 21, 21167, 21261, 21344, 21354, 21476, 21609 | Ports Scanned: 15 | Count: 52 | Start: Mon Oct 27 11:55:12 2025 | Duration: 8.807660s
[ALERT] UDP_SCAN from 10.35.214.193 | Target_IP: 10.35.214.252 | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 16402, 17236, 17282, 17638, 19130, 20366, 21, 21261, 21344, 21476, 21609, 217, 22914, 23040, 23965 | Ports Scanned: 15 | Count: 52 | Start: Mon Oct 27 11:55:12 2025 | Duration: 8.807660s
