2025-08-18 09:56:50,133 - 2025-08-18 09:56:50 - SERVICE_PROBE ALERT from 172.217.17.67 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 32920 | Ports Scanned: 0 | Start: Mon Jun  2 13:27:14 2025 | Duration: 0s
2025-08-18 09:56:50,133 - 2025-08-18 09:56:50 - SYN_SCAN ALERT from 10.129.5.193 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 10000, 1025, 1053, 10566, 110, 111, 113, 12174, 1311, 135, 139, 143, 1720, 1723, 199 | Ports Scanned: 40 | Start: Mon Jun  2 13:27:36 2025 | Duration: 9s
2025-08-18 09:56:50,134 - 2025-08-18 09:56:50 - OS_FINGERPRINT ALERT from 10.129.5.193 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Mon Jun  2 13:27:36 2025 | Duration: 9s
2025-08-18 09:56:50,134 - 2025-08-18 09:56:50 - SERVICE_PROBE ALERT from 216.58.208.238 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 48874 | Ports Scanned: 0 | Start: Mon Jun  2 13:27:34 2025 | Duration: 0s
2025-08-18 09:56:50,134 - 2025-08-18 09:56:50 - SERVICE_PROBE ALERT from 10.129.5.252 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 443, 80 | Ports Scanned: 0 | Start: N/A | Duration: 0s
2025-08-18 09:56:50,134 - 2025-08-18 09:56:50 - SERVICE_PROBE ALERT from 172.217.17.42 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 54170 | Ports Scanned: 0 | Start: Mon Jun  2 13:27:34 2025 | Duration: 0s
2025-08-18 09:57:47,742 - 2025-08-18 09:57:47 - FIN_SCAN ALERT from 10.129.5.193 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 1025, 110, 111, 113, 135, 139, 143, 1720, 1723, 199, 21, 22, 23, 25, 256 | Ports Scanned: 30 | Start: Mon Jun  2 13:29:17 2025 | Duration: 7s
2025-08-18 09:57:47,742 - 2025-08-18 09:57:47 - SERVICE_PROBE ALERT from 172.217.17.67 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 32920 | Ports Scanned: 0 | Start: Mon Jun  2 13:29:15 2025 | Duration: 0s
2025-08-18 09:58:05,821 - 2025-08-18 09:58:05 - NULL_SCAN ALERT from 10.129.5.193 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 1007, 1025, 1088, 110, 111, 1110, 113, 1141, 135, 139, 143, 1720, 1723, 18101, 1840 | Ports Scanned: 50 | Start: Mon Jun  2 13:29:51 2025 | Duration: 9s
2025-08-18 09:58:20,624 - 2025-08-18 09:58:20 - XMAS_SCAN ALERT from 10.129.5.193 | Target_IP: N/A | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 1011, 1025, 1042, 1093, 110, 111, 11110, 1124, 113, 1271, 135, 139, 143, 1500, 15004 | Ports Scanned: 50 | Start: Mon Jun  2 13:30:23 2025 | Duration: 8s
2025-08-18 09:58:20,624 - 2025-08-18 09:58:20 - SERVICE_PROBE ALERT from 10.129.5.252 | Target_IP: N/A | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 443 | Ports Scanned: 0 | Start: Mon Jun  2 13:30:22 2025 | Duration: 6s
2025-08-18 09:58:20,624 - 2025-08-18 09:58:20 - SERVICE_PROBE ALERT from 172.217.17.67 | Target_IP: N/A | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 32920 | Ports Scanned: 0 | Start: Mon Jun  2 13:30:23 2025 | Duration: 0s
2025-08-18 09:58:52,413 - 2025-08-18 09:58:52 - UDP_SCAN ALERT from 10.129.5.193 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 1041, 1049, 1065, 1068, 16896, 17185, 18683, 20360, 20445, 20540, 20791, 21360, 22053, 24644, 28547 | Ports Scanned: 40 | Start: Mon Jun  2 13:31:00 2025 | Duration: 8s
2025-08-18 09:59:18,869 - 2025-08-18 09:59:18 - SERVICE_PROBE ALERT from 172.217.17.67 | Target_IP: N/A | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 32920 | Ports Scanned: 0 | Start: Mon Jun  2 13:34:56 2025 | Duration: 0s
2025-08-18 09:59:18,869 - 2025-08-18 09:59:18 - FULL_PORT_SCAN ALERT from 10.129.5.193 | Target_IP: N/A | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 10, 11, 13, 2, 20, 21, 22, 23, 24, 25, 28, 30, 33, 34, 35 | Ports Scanned: 60 | Start: Mon Jun  2 13:34:53 2025 | Duration: 9s
2025-08-18 09:59:18,869 - 2025-08-18 09:59:18 - SYN_SCAN ALERT from 10.129.5.193 | Target_IP: N/A | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 10, 11, 13, 2, 20, 21, 22, 23, 24, 25, 28, 30, 33, 34, 35 | Ports Scanned: 60 | Start: Mon Jun  2 13:34:53 2025 | Duration: 9s
2025-08-18 09:59:18,869 - 2025-08-18 09:59:18 - OS_FINGERPRINT ALERT from 10.129.5.193 | Target_IP: N/A | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Mon Jun  2 13:34:53 2025 | Duration: 9s
2025-08-18 09:59:18,870 - 2025-08-18 09:59:18 - SERVICE_PROBE ALERT from 10.129.5.252 | Target_IP: N/A | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 443 | Ports Scanned: 0 | Start: Mon Jun  2 13:34:56 2025 | Duration: 0s
2025-08-18 10:00:05,696 - 2025-08-18 10:00:05 - FULL_PORT_SCAN ALERT from 10.129.5.193 | Target_IP: N/A | SRC_MAC: 6e:24:d0:51:b4:15 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 10000, 10001, 10002, 10009, 1007, 10180, 1022, 1024, 1025, 1035, 1037, 10566, 1077, 10778, 110 | Ports Scanned: 110 | Start: Mon Jun  2 13:32:45 2025 | Duration: 9s
2025-08-18 10:00:05,696 - 2025-08-18 10:00:05 - SYN_SCAN ALERT from 10.129.5.193 | Target_IP: N/A | SRC_MAC: 6e:24:d0:51:b4:15 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 10000, 10001, 10002, 10009, 1007, 10180, 1022, 1024, 1025, 1035, 1037, 10566, 1077, 10778, 110 | Ports Scanned: 110 | Start: Mon Jun  2 13:32:45 2025 | Duration: 9s
2025-08-18 10:00:05,697 - 2025-08-18 10:00:05 - OS_FINGERPRINT ALERT from 10.129.5.193 | Target_IP: N/A | SRC_MAC: 6e:24:d0:51:b4:15 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Mon Jun  2 13:32:45 2025 | Duration: 9s
2025-08-18 10:00:05,697 - 2025-08-18 10:00:05 - SERVICE_PROBE ALERT from 10.129.5.252 | Target_IP: N/A | SRC_MAC: 6e:24:d0:51:b4:15 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 443 | Ports Scanned: 0 | Start: Mon Jun  2 13:32:47 2025 | Duration: 0s
2025-08-18 10:00:05,697 - 2025-08-18 10:00:05 - SERVICE_PROBE ALERT from 172.217.19.202 | Target_IP: N/A | SRC_MAC: 6e:24:d0:51:b4:15 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 33500 | Ports Scanned: 0 | Start: Mon Jun  2 13:32:48 2025 | Duration: 0s
2025-08-18 10:58:53,594 - 2025-08-18 10:58:53 - SERVICE_PROBE ALERT from 172.217.17.67 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 32920 | Ports Scanned: 0 | Start: Mon Jun  2 13:29:15 2025 | Duration: 0s
2025-08-18 10:58:53,594 - 2025-08-18 10:58:53 - FIN_SCAN ALERT from 10.129.5.193 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 1025, 110, 111, 113, 135, 139, 143, 1720, 1723, 199, 21, 22, 23, 25, 256 | Ports Scanned: 30 | Start: Mon Jun  2 13:29:17 2025 | Duration: 7s
2025-08-18 11:00:36,925 -  SERVICE_PROBE ALERT from 172.217.17.67 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 32920 | Ports Scanned: 0 | Start: Mon Jun  2 13:29:15 2025 | Duration: 0s
2025-08-18 11:00:36,926 -  FIN_SCAN ALERT from 10.129.5.193 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 1025, 110, 111, 113, 135, 139, 143, 1720, 1723, 199, 21, 22, 23, 25, 256 | Ports Scanned: 30 | Start: Mon Jun  2 13:29:17 2025 | Duration: 7s
2025-08-18 11:02:17,954 -  SERVICE_PROBE ALERT from 10.129.5.252 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 443, 80 | Ports Scanned: 0 | Start: Mon Jun  2 13:32:13 2025 | Duration: 2s
2025-08-18 11:02:17,954 -  NULL_SCAN ALERT from 10.129.5.193 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 1001, 10025, 1009, 1045, 1050, 1052, 10626, 110, 111, 1119, 113, 1236, 125, 135, 144 | Ports Scanned: 60 | Start: Mon Jun  2 13:32:11 2025 | Duration: 8s
2025-08-18 11:02:52,792 -  NULL_SCAN ALERT from 10.129.5.193 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 1007, 1025, 1088, 110, 111, 1110, 113, 1141, 135, 139, 143, 1720, 1723, 18101, 1840 | Ports Scanned: 50 | Start: Mon Jun  2 13:29:51 2025 | Duration: 9s
2025-08-18 11:03:28,897 -  SERVICE_PROBE ALERT from 10.129.5.252 | Target_IP: N/A | SRC_MAC: 6e:24:d0:51:b4:15 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 443 | Ports Scanned: 0 | Start: Mon Jun  2 13:32:47 2025 | Duration: 0s
2025-08-18 11:03:28,897 -  SERVICE_PROBE ALERT from 172.217.19.202 | Target_IP: N/A | SRC_MAC: 6e:24:d0:51:b4:15 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 33500 | Ports Scanned: 0 | Start: Mon Jun  2 13:32:48 2025 | Duration: 0s
2025-08-18 11:03:28,897 -  FULL_PORT_SCAN ALERT from 10.129.5.193 | Target_IP: N/A | SRC_MAC: 6e:24:d0:51:b4:15 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 10000, 10001, 10002, 10009, 1007, 10180, 1022, 1024, 1025, 1035, 1037, 10566, 1077, 10778, 110 | Ports Scanned: 110 | Start: Mon Jun  2 13:32:45 2025 | Duration: 9s
2025-08-18 11:03:28,897 -  SYN_SCAN ALERT from 10.129.5.193 | Target_IP: N/A | SRC_MAC: 6e:24:d0:51:b4:15 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 10000, 10001, 10002, 10009, 1007, 10180, 1022, 1024, 1025, 1035, 1037, 10566, 1077, 10778, 110 | Ports Scanned: 110 | Start: Mon Jun  2 13:32:45 2025 | Duration: 9s
2025-08-18 11:03:28,897 -  OS_FINGERPRINT ALERT from 10.129.5.193 | Target_IP: N/A | SRC_MAC: 6e:24:d0:51:b4:15 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Mon Jun  2 13:32:45 2025 | Duration: 9s
2025-08-18 11:04:10,906 -  SERVICE_PROBE ALERT from 172.217.19.206 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 51420 | Ports Scanned: 0 | Start: Mon Jun  2 13:33:30 2025 | Duration: 4s
2025-08-18 11:04:10,906 -  SERVICE_PROBE ALERT from 172.217.17.67 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 32920 | Ports Scanned: 0 | Start: Mon Jun  2 13:33:18 2025 | Duration: 0s
2025-08-18 11:04:10,907 -  SERVICE_PROBE ALERT from 10.129.5.252 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 443 | Ports Scanned: 0 | Start: Mon Jun  2 13:33:30 2025 | Duration: 4s
2025-08-18 11:04:10,907 -  SERVICE_PROBE ALERT from 142.250.181.74 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 40488 | Ports Scanned: 0 | Start: Mon Jun  2 13:33:30 2025 | Duration: 0s
2025-08-18 11:04:10,907 -  SYN_SCAN ALERT from 10.129.5.193 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 1025, 10786, 110, 111, 113, 135, 139, 143, 1515, 1720, 1723, 17300, 199, 21, 22 | Ports Scanned: 50 | Start: Mon Jun  2 13:33:27 2025 | Duration: 8s
